review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
43,37,252,1,Recomendado,El producto es correcto pero la entrega tardó.,true,9,2024-12-14
44,8,112,4,Cumple expectativas,Excelente relación calidad-precio.,false,27,2024-01-25
45,78,292,1,Buena calidad,Excelente relación calidad-precio.,false,22,2023-12-13
46,100,216,4,Muy bueno,Excelente relación calidad-precio.,true,0,2025-09-29
47,66,189,5,Podría mejorar,Excelente relación calidad-precio.,false,4,2025-07-17
48,23,242,1,Satisfecho,No cumplió mis expectativas.,true,32,2025-05-10
49,17,266,3,Excelente producto,Llegó a tiempo y en perfecto estado.,true,42,2025-05-13
50,91,159,4,No tan bueno,El producto es correcto pero la entrega tardó.,true,38,2025-08-09
51,12,222,2,Podría mejorar,Bueno pero esperaba un poco más.,true,29,2024-08-16
52,100,465,2,Excelente producto,Llegó a tiempo y en perfecto estado.,false,9,2025-04-22
53,12,349,5,Recomendado,Cumple con lo prometido.,true,41,2023-04-17
54,76,88,1,Recomendado,El producto es correcto pero la entrega tardó.,true,5,2023-08-27
55,62,206,5,Excelente producto,Excelente relación calidad-precio.,true,9,2025-08-05
56,28,486,5,Excelente producto,Bueno pero esperaba un poco más.,true,9,2024-07-23
57,69,54,5,Muy bueno,Bueno pero esperaba un poco más.,true,29,2024-09-28
58,80,158,5,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,30,2025-01-05
59,34,338,3,Recomendado,No cumplió mis expectativas.,true,13,2025-06-16
60,32,419,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,31,2023-06-20
61,52,491,3,Muy bueno,Cumple con lo prometido.,true,0,2025-04-18
62,30,10,1,Excelente producto,Excelente relación calidad-precio.,true,13,2025-04-05
63,16,281,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,49,2024-07-08
64,25,112,3,Recomendado,Bueno pero esperaba un poco más.,true,38,2023-05-15
65,43,138,5,No tan bueno,Excelente relación calidad-precio.,true,10,2024-10-12
66,67,37,1,Muy bueno,No cumplió mis expectativas.,true,22,2025-09-01
67,97,51,5,Satisfecho,Cumple con lo prometido.,false,44,2025-07-24
68,25,265,2,Podría mejorar,El producto es correcto pero la entrega tardó.,false,35,2024-05-08
69,60,457,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,40,2025-02-10
70,34,412,4,Buena calidad,Llegó a tiempo y en perfecto estado.,false,4,2023-06-06
71,45,166,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,38,2023-05-31
72,60,179,4,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,2,2023-07-01
73,75,216,5,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,45,2023-04-15
74,76,13,1,Satisfecho,No cumplió mis expectativas.,true,38,2024-02-01
75,12,372,1,Recomendado,Bueno pero esperaba un poco más.,true,46,2025-03-22
76,47,314,1,Podría mejorar,El producto es correcto pero la entrega tardó.,false,19,2025-01-20
77,12,412,3,Excelente producto,No cumplió mis expectativas.,true,5,2023-06-20
78,29,29,3,Muy bueno,Cumple con lo prometido.,true,21,2025-11-15
79,7,80,3,Satisfecho,Bueno pero esperaba un poco más.,true,20,2024-01-28
80,54,4,4,Podría mejorar,Excelente relación calidad-precio.,false,17,2023-11-16
81,94,374,3,No tan bueno,No cumplió mis expectativas.,false,25,2024-06-23
82,63,472,2,Excelente producto,Muy buena calidad por el precio.,false,44,2025-02-27
83,31,110,3,Satisfecho,Muy buena calidad por el precio.,true,9,2024-08-05
84,88,265,2,Muy bueno,El producto es correcto pero la entrega tardó.,true,30,2024-03-04
85,64,241,5,Muy bueno,No cumplió mis expectativas.,false,21,2024-05-17
86,62,41,3,Satisfecho,Excelente relación calidad-precio.,true,35,2024-06-21
87,6,279,4,Podría mejorar,No cumplió mis expectativas.,true,2,2024-01-23
88,90,18,5,No tan bueno,Bueno pero esperaba un poco más.,true,26,2023-04-18
89,20,175,2,Buena calidad,Excelente relación calidad-precio.,true,9,2026-01-19
90,60,352,4,Recomendado,Muy buena calidad por el precio.,true,4,2025-04-10
91,21,407,3,Recomendado,No cumplió mis expectativas.,true,1,2023-09-18
92,2,253,1,Cumple expectativas,Muy buena calidad por el precio.,true,42,2023-05-08
93,85,139,2,Excelente producto,Muy buena calidad por el precio.,true,9,2025-04-19
94,29,47,3,Podría mejorar,El producto es correcto pero la entrega tardó.,true,7,2025-08-07
95,22,83,4,No tan bueno,El producto es correcto pero la entrega tardó.,true,9,2024-07-25
96,90,22,2,Podría mejorar,Excelente relación calidad-precio.,true,34,2025-06-17
97,77,400,1,No tan bueno,No cumplió mis expectativas.,true,36,2025-05-14
98,56,82,3,Satisfecho,El producto es correcto pero la entrega tardó.,false,30,2023-09-11
99,29,479,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,42,2024-09-15
100,52,382,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,47,2025-11-18
101,38,434,4,No tan bueno,Muy buena calidad por el precio.,true,26,2024-07-04
102,92,109,3,Muy bueno,Excelente relación calidad-precio.,true,7,2024-03-25
103,64,460,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,3,2025-11-06
104,33,164,2,Cumple expectativas,Excelente relación calidad-precio.,true,4,2023-07-07
105,80,168,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2023-06-10
106,57,424,2,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,33,2025-11-25
107,79,252,3,Cumple expectativas,Muy buena calidad por el precio.,true,27,2024-05-04
108,79,31,1,Muy bueno,El producto es correcto pero la entrega tardó.,true,47,2023-12-17
109,52,101,5,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,46,2023-11-30
110,81,45,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,21,2023-07-14
111,76,364,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,20,2024-04-03
112,87,137,1,Satisfecho,No cumplió mis expectativas.,true,39,2024-09-28
113,26,158,5,Satisfecho,Muy buena calidad por el precio.,true,32,2023-08-01
114,37,61,2,Cumple expectativas,Excelente relación calidad-precio.,true,16,2023-07-16
115,92,86,5,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,43,2025-02-18
116,89,278,3,Buena calidad,Bueno pero esperaba un poco más.,true,24,2024-06-20
117,63,146,4,Buena calidad,Excelente relación calidad-precio.,true,3,2025-06-23
118,23,425,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,23,2024-11-21
119,31,312,3,Excelente producto,No cumplió mis expectativas.,true,1,2023-10-01
120,64,94,4,Satisfecho,Cumple con lo prometido.,true,17,2023-01-11
121,49,182,3,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,18,2024-01-20
122,4,320,3,Recomendado,El producto es correcto pero la entrega tardó.,true,39,2023-04-20
123,34,325,2,Excelente producto,No cumplió mis expectativas.,true,45,2024-10-11
124,9,246,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,33,2023-09-15
125,12,247,5,Buena calidad,Muy buena calidad por el precio.,false,41,2023-09-16
126,62,205,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2024-02-16
127,74,390,1,Recomendado,Excelente relación calidad-precio.,false,40,2023-05-17
128,15,429,2,Recomendado,Cumple con lo prometido.,true,41,2025-01-13
129,96,318,4,Excelente producto,Bueno pero esperaba un poco más.,true,34,2023-08-02
130,100,356,5,Buena calidad,El producto es correcto pero la entrega tardó.,false,45,2024-01-01
131,21,250,5,Muy bueno,Llegó a tiempo y en perfecto estado.,true,6,2025-03-13
132,62,285,2,Buena calidad,Cumple con lo prometido.,true,42,2024-05-30
133,75,101,2,No tan bueno,Cumple con lo prometido.,true,35,2025-03-30
134,79,47,2,Podría mejorar,Muy buena calidad por el precio.,true,44,2025-06-29
135,18,213,3,Satisfecho,No cumplió mis expectativas.,true,36,2025-01-29
136,34,137,3,No tan bueno,Llegó a tiempo y en perfecto estado.,true,15,2023-01-15
137,28,500,3,No tan bueno,Cumple con lo prometido.,true,41,2023-05-18
138,6,136,4,Muy bueno,Llegó a tiempo y en perfecto estado.,false,20,2024-07-18
139,80,371,5,Podría mejorar,Bueno pero esperaba un poco más.,true,44,2025-11-13
140,50,315,1,Recomendado,El producto es correcto pero la entrega tardó.,true,32,2024-07-07
141,69,181,4,Recomendado,No cumplió mis expectativas.,false,41,2023-10-16
142,38,96,1,Podría mejorar,Cumple con lo prometido.,false,43,2023-11-14
143,56,409,4,Excelente producto,El producto es correcto pero la entrega tardó.,true,11,2024-11-26
144,17,314,2,Cumple expectativas,Bueno pero esperaba un poco más.,true,10,2025-07-31
145,46,288,4,Cumple expectativas,Muy buena calidad por el precio.,false,21,2023-03-21
146,74,319,2,Satisfecho,Llegó a tiempo y en perfecto estado.,true,50,2023-07-16
147,47,181,3,Podría mejorar,Cumple con lo prometido.,false,0,2025-08-15
148,61,307,4,Satisfecho,El producto es correcto pero la entrega tardó.,true,0,2024-10-21
149,76,272,5,No tan bueno,No cumplió mis expectativas.,true,15,2024-09-30
150,67,338,1,Podría mejorar,Muy buena calidad por el precio.,true,32,2023-02-01
151,60,238,5,Satisfecho,El producto es correcto pero la entrega tardó.,true,3,2023-02-07
152,47,444,3,Muy bueno,Llegó a tiempo y en perfecto estado.,true,6,2024-10-19
153,42,354,2,No tan bueno,Cumple con lo prometido.,true,48,2023-01-15
154,43,200,5,Recomendado,Excelente relación calidad-precio.,true,41,2023-02-13
155,100,222,5,Muy bueno,No cumplió mis expectativas.,false,43,2025-12-21
156,48,356,2,Satisfecho,Excelente relación calidad-precio.,true,14,2024-05-01
157,18,163,3,Cumple expectativas,Excelente relación calidad-precio.,true,40,2025-10-25
158,58,187,5,No tan bueno,Muy buena calidad por el precio.,false,26,2025-12-20
159,82,223,1,Cumple expectativas,Muy buena calidad por el precio.,false,33,2025-07-13
160,62,469,5,Cumple expectativas,Muy buena calidad por el precio.,false,3,2025-01-24
161,96,199,3,Recomendado,El producto es correcto pero la entrega tardó.,true,48,2023-07-30
162,33,406,4,Excelente producto,Llegó a tiempo y en perfecto estado.,true,9,2025-06-09
163,70,465,2,Excelente producto,Bueno pero esperaba un poco más.,true,33,2023-03-08
164,32,484,1,Buena calidad,El producto es correcto pero la entrega tardó.,true,7,2025-03-12
165,59,180,3,Cumple expectativas,No cumplió mis expectativas.,false,31,2024-03-11
166,79,476,4,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,17,2024-05-10
167,73,476,5,Satisfecho,No cumplió mis expectativas.,true,42,2023-08-07
168,78,19,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,5,2023-04-25
169,50,61,1,Excelente producto,El producto es correcto pero la entrega tardó.,true,20,2025-01-26
170,80,272,5,Podría mejorar,El producto es correcto pero la entrega tardó.,true,35,2023-12-23
171,21,303,1,Recomendado,Cumple con lo prometido.,true,37,2023-06-14
172,42,13,5,Muy bueno,No cumplió mis expectativas.,true,30,2025-04-13
173,88,114,2,Muy bueno,Cumple con lo prometido.,true,40,2023-06-12
174,32,390,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,7,2025-05-23
175,100,72,4,Satisfecho,No cumplió mis expectativas.,true,23,2023-04-17
176,45,346,1,Cumple expectativas,Muy buena calidad por el precio.,true,16,2023-11-25
177,88,471,4,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,21,2023-03-16
178,12,40,4,Buena calidad,El producto es correcto pero la entrega tardó.,true,34,2025-03-11
179,64,466,1,No tan bueno,Llegó a tiempo y en perfecto estado.,false,3,2023-05-02
180,24,341,2,Buena calidad,Bueno pero esperaba un poco más.,false,26,2024-12-15
181,57,474,2,Podría mejorar,No cumplió mis expectativas.,false,14,2025-11-05
182,88,153,2,Podría mejorar,Excelente relación calidad-precio.,true,18,2025-05-09
183,66,411,2,No tan bueno,Llegó a tiempo y en perfecto estado.,true,27,2023-01-16
184,92,166,5,Muy bueno,Cumple con lo prometido.,false,35,2023-09-18
185,13,494,5,No tan bueno,Excelente relación calidad-precio.,true,28,2024-06-04
186,42,459,1,Buena calidad,Muy buena calidad por el precio.,true,26,2025-04-15
187,44,98,1,Cumple expectativas,Muy buena calidad por el precio.,true,33,2025-05-07
188,26,208,2,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,16,2024-05-09
189,11,481,1,No tan bueno,No cumplió mis expectativas.,false,14,2023-06-09
190,58,343,4,Satisfecho,Cumple con lo prometido.,true,35,2023-05-05
191,93,3,3,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,20,2023-03-06
192,84,138,3,No tan bueno,Bueno pero esperaba un poco más.,true,15,2025-09-22
193,13,23,4,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,27,2024-09-15
194,1,231,5,Satisfecho,Bueno pero esperaba un poco más.,true,28,2025-03-27
195,78,328,3,Satisfecho,Muy buena calidad por el precio.,false,29,2025-02-07
196,23,120,1,Buena calidad,Excelente relación calidad-precio.,true,44,2024-06-10
197,53,389,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,42,2024-05-10
198,53,394,4,Recomendado,Cumple con lo prometido.,true,28,2023-03-12
199,49,258,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2024-02-15
200,74,143,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,9,2024-02-29
